group1,group2,meandiff,p-adj,lower,upper,reject
AD,KZ,-6.3252,1.0,-29.444,16.7936,False
AD,LA,-1.8341,1.0,-24.6401,20.972,False
AD,LB,13.1553,1.0,-9.6508,35.9613,False
AD,LC,-6.8388,1.0,-30.803,17.1253,False
AD,LI,18.4628,0.9177,-6.5368,43.4624,False
AD,LK,-0.8615,1.0,-81.4748,79.7518,False
AD,LR,-42.7503,0.0,-66.3113,-19.1893,True
AD,LS,-5.5504,1.0,-29.7242,18.6234,False
AD,LT,12.0448,1.0,-10.7391,34.8287,False
AD,LU,-13.0114,1.0,-35.9232,9.9003,False
AD,LV,1.7872,1.0,-21.4321,25.0065,False
AD,LY,13.2908,1.0,-13.7748,40.3565,False
AD,MA,4.362,1.0,-19.1895,27.9135,False
AD,MC,37.5725,0.0,13.1025,62.0426,True
AD,MD,-5.3333,1.0,-29.9289,19.2623,False
AD,ME,26.3279,0.9943,-13.0195,65.6752,False
AD,MF,21.0569,0.4242,-3.488,45.6018,False
AD,MG,1.8109,1.0,-24.0041,27.6258,False
AD,MH,77.0323,-0.0,50.7806,103.2841,True
AD,MK,4.6965,1.0,-18.0801,27.473,False
AD,ML,52.2844,0.0202,2.2953,102.2736,True
AD,MM,-1.5621,1.0,-25.736,22.6117,False
AD,MN,-4.278,1.0,-62.0173,53.4614,False
AD,MP,-49.4303,-0.0,-73.1969,-25.6637,True
AD,MQ,34.5834,0.0,11.0224,58.1444,True
AD,MR,7.7664,1.0,-18.1184,33.6512,False
AD,MS,-39.697,0.0,-66.7627,-12.6314,True
AD,MT,18.973,0.6119,-4.2041,42.15,False
AD,MU,1.4677,1.0,-21.2579,24.1933,False
AD,MV,6.1256,1.0,-17.5709,29.8222,False
AD,MW,-45.7515,0.0108,-88.2968,-3.2062,True
AD,MX,4.7909,1.0,-82.5475,92.1292,False
AD,MY,17.0193,0.933,-6.2516,40.2902,False
AD,MZ,-18.6419,0.7709,-42.4287,5.145,False
AD,NA,-8.9653,1.0,-32.1846,14.2541,False
