iabCat,masculinity,interest,IgName,IgLevel1,IgLevel2,PinkMin,PinkAvg,PinkMax
Arts & Entertainment,-1997.0,6003067482807,Amar (singer),empty,People,4.358997091394055,19.871848681377966,18.390736116126945
Food & Drink,-1998.0,6011578629129,Recetas para Adelgazar,Health & Wellness Website,Fitness and wellness,6.417191445201285,5.191657878116904,4.275096530168736
Food & Drink,-1999.0,6002868278822,Chili pepper,empty,Food and drink,16.127610166360224,9.32406108949776,8.158550239471797
Home & Garden,-2000.0,6003148609440,Nursery (room),empty,Business and industry,-42.07572277676387,30.359969487099,30.585519432836417
Arts & Entertainment,-2001.0,6004906358070,World of Dance,Local Business,Business and industry,-10.518080377160874,19.70585270574403,20.04943553467709
Arts & Entertainment,-2002.0,6012800497174,Grupo Palomo Oficial,Other,News and entertainment,3.807946068541215,9.126350349398038,8.071004632071311
Automotive,-2003.0,6003333062141,D&R,Local Business,empty,32.633036553749335,33.51254480286607,40.05348575118997
Food & Drink,-2004.0,6002899966562,Mousse,empty,Food and drink,18.918671989867978,25.291757029582755,20.85256151457298
Travel,-2005.0,6003526494198,Aruba,Country,"Travel, places and events",4.835883014484496,16.73072780703933,17.505089362613205
Travel,-2006.0,6003395471271,Sinaloa,empty,"Travel, places and events",8.582964075408784,31.709276828595986,28.976048514327594
Home & Garden,-2007.0,6003369043735,Tablecloth,empty,empty,19.709560991312998,27.579742655294826,27.738596290575632
Home & Garden,-2008.0,6003441215825,Bleach,empty,Business and industry,-20.83984672727544,19.891737921250588,11.030969672611041
Arts & Entertainment,-2009.0,6003344118039,Reik,Musician/Band,News and entertainment,4.539454786577599,20.185951756578437,20.018264755941235
Religion & Spirituality,-2010.0,6003201668178,Enlightenment (spiritual),Local Business,Lifestyle and culture,1.928832512061089,12.75197938147447,12.027878086651787
Home & Garden,-2011.0,6003117486988,Cleanser,empty,Shopping and fashion,-0.6386399563081478,18.23797526560866,17.843904972700052
Arts & Entertainment,-2012.0,6003081721815,Art history,Field of Study,Education,-15.972515383493825,9.541215163976865,8.672576106888586
Technology & Computing,-2013.0,6003305030460,Communication design,Local Business,Education,0.5783418259909816,22.50993193225569,21.37248771033121
Health & Fitness,-2014.0,6004037193009,Relaxation technique,empty,Fitness and wellness,2.867003708469418,7.874648338262806,6.440797649658218
